map_id,map_name,total_score,ct_score,t_score,agent_1,agent_2,agent_3,agent_4,agent_5
225,Lotus,13,4,9,SOVA,OMEN,BREACH,KILLJOY,JETT
226,Lotus,11,3,8,BREACH,SOVA,KILLJOY,JETT,OMEN
227,Ascent,13,5,8,OMEN,CYPHER,DEADLOCK,KAYO,RAZE
228,Ascent,4,4,0,OMEN,CYPHER,BREACH,NEON,SOVA
229,Abyss,13,6,7,ASTRA,CYPHER,JETT,SOVA,BREACH
230,Abyss,11,5,6,JETT,ASTRA,GEKKO,BREACH,CYPHER
231,Sunset,13,5,8,ASTRA,CYPHER,SOVA,JETT,BREACH
232,Sunset,5,4,1,JETT,CYPHER,ASTRA,BREACH,GEKKO
233,Ascent,13,8,5,CYPHER,SOVA,JETT,OMEN,KAYO
234,Ascent,6,2,4,JETT,KILLJOY,OMEN,SOVA,KAYO
235,Abyss,10,3,7,CYPHER,JETT,KAYO,SOVA,OMEN
236,Abyss,13,5,8,KILLJOY,JETT,KAYO,OMEN,SOVA
237,Bind,10,4,6,YORU,JETT,VIPER,ASTRA,SOVA
238,Bind,13,6,7,KAYO,SOVA,ASTRA,OMEN,YORU
239,Lotus,13,6,7,NEON,SOVA,OMEN,BREACH,CYPHER
240,Lotus,11,5,6,YORU,NEON,SOVA,BREACH,OMEN
241,Ascent,3,0,3,SOVA,NEON,CYPHER,OMEN,BREACH
242,Ascent,13,9,4,YORU,NEON,BREACH,OMEN,SOVA
243,cebox,13,5,8,SOVA,VYSE,KILLJOY,JETT,OMEN
244,cebox,9,4,5,NEON,YORU,SOVA,OMEN,HARBOR
245,Sunset,12,5,7,GEKKO,OMEN,YORU,BREACH,CYPHER
246,Sunset,14,5,7,OMEN,CYPHER,GEKKO,NEON,BREACH
247,cebox,13,8,5,CYPHER,BREACH,YORU,GEKKO,OMEN
248,cebox,6,2,4,OMEN,GEKKO,CYPHER,BREACH,NEON
249,Haven,13,5,8,KAYO,KILLJOY,OMEN,VIPER,GEKKO
250,Haven,9,2,7,GEKKO,KILLJOY,OMEN,VIPER,REYNA
251,Sunset,12,5,7,GEKKO,OMEN,YORU,BREACH,CYPHER
252,Sunset,14,5,7,OMEN,CYPHER,GEKKO,NEON,BREACH
253,cebox,13,8,5,CYPHER,BREACH,YORU,GEKKO,OMEN
254,cebox,6,2,4,OMEN,GEKKO,CYPHER,BREACH,NEON
255,Haven,13,5,8,KAYO,KILLJOY,OMEN,VIPER,GEKKO
256,Haven,9,2,7,GEKKO,KILLJOY,OMEN,VIPER,REYNA
257,Abyss,11,7,4,JETT,KAYO,OMEN,CYPHER,SOVA
258,Abyss,13,8,5,CYPHER,OMEN,GEKKO,JETT,SOVA
259,cebox,4,0,4,KAYO,JETT,CYPHER,OMEN,SOVA
260,cebox,13,8,5,CYPHER,OMEN,JETT,GEKKO,SOVA
261,Haven,9,8,1,NEON,SOVA,OMEN,BREACH,CYPHER
262,Haven,13,9,4,KILLJOY,VIPER,OMEN,SKYE,JETT
263,Ascent,6,5,1,SOVA,NEON,OMEN,BREACH,CYPHER
264,Ascent,13,6,7,KILLJOY,VIPER,OMEN,SKYE,JETT
265,Bind,13,3,9,SKYE,VIPER,RAZE,GEKKO,BRIMSTONE
266,Bind,15,3,9,CYPHER,RAZE,OMEN,BREACH,SKYE
267,cebox,14,5,7,SKYE,GEKKO,VIPER,RAZE,BRIMSTONE
268,cebox,12,5,7,OMEN,CYPHER,RAZE,SKYE,BREACH
269,Sunset,13,5,8,GEKKO,SOVA,KILLJOY,VIPER,JETT
270,Sunset,11,4,7,VIPER,JETT,KILLJOY,SOVA,ISO
271,Lotus,9,3,6,SOVA,RAZE,KILLJOY,OMEN,GEKKO
272,Lotus,13,4,9,BREACH,OMEN,CYPHER,NEON,SOVA
273,Abyss,9,4,5,RAZE,KILLJOY,SOVA,OMEN,GEKKO
274,Abyss,13,7,6,BREACH,NEON,CYPHER,OMEN,SOVA
275,Bind,8,1,7,JETT,OMEN,CYPHER,SOVA,PHOENIX
276,Bind,13,5,8,JETT,KAYO,OMEN,CYPHER,SOVA
277,Sunset,0,0,0,CYPHER,BREACH,SOVA,OMEN,RAZE
278,Sunset,13,12,1,OMEN,NEON,SOVA,CYPHER,BREACH
279,Haven,2,2,0,CYPHER,BREACH,SOVA,OMEN,RAZE
280,Haven,13,3,10,SOVA,NEON,CYPHER,OMEN,BREACH
281,Sunset,5,1,4,CYPHER,NEON,SOVA,BREACH,OMEN
282,Sunset,13,8,5,NEON,OMEN,BREACH,SOVA,CYPHER
283,Haven,13,10,3,NEON,CYPHER,SOVA,OMEN,BREACH
284,Haven,3,1,2,NEON,OMEN,SOVA,BREACH,CYPHER
285,Abyss,13,9,4,ISO,OMEN,YORU,SOVA,CYPHER
286,Abyss,9,6,3,NEON,CYPHER,OMEN,BREACH,SOVA
287,Sunset,13,10,3,CYPHER,KAYO,NEON,SOVA,OMEN
288,Sunset,4,2,2,NEON,BREACH,CYPHER,GEKKO,OMEN
289,Bind,13,10,3,CYPHER,KAYO,NEON,OMEN,SOVA
290,Bind,5,3,2,NEON,BREACH,CYPHER,GEKKO,OMEN
291,cebox,11,5,6,VIPER,KILLJOY,SAGE,SOVA,JETT
292,cebox,13,6,7,OMEN,VIPER,KAYO,GEKKO,KILLJOY
293,Sunset,13,5,8,VIPER,JETT,SAGE,KILLJOY,SOVA
294,Sunset,11,4,7,OMEN,VIPER,GEKKO,KAYO,KILLJOY
295,Haven,12,5,7,CYPHER,NEON,BREACH,OMEN,SOVA
296,Haven,14,5,7,YORU,CYPHER,GEKKO,BREACH,OMEN
297,Sunset,10,4,6,CYPHER,BREACH,SOVA,OMEN,NEON
298,Sunset,13,5,8,SOVA,BREACH,NEON,CYPHER,OMEN
299,Abyss,13,7,6,BREACH,NEON,SOVA,CYPHER,OMEN
300,Abyss,7,6,1,BREACH,CYPHER,SOVA,NEON,OMEN
301,Bind,13,3,10,SOVA,JETT,KAYO,CYPHER,OMEN
302,Bind,10,1,9,JETT,SOVA,OMEN,KAYO,CYPHER
303,Sunset,13,6,7,NEON,SOVA,BREACH,OMEN,CYPHER
304,Sunset,10,5,5,RAZE,BREACH,OMEN,CYPHER,SOVA
305,Haven,13,9,4,NEON,SOVA,CYPHER,OMEN,BREACH
306,Haven,11,8,3,BREACH,OMEN,RAZE,SOVA,CYPHER
307,Abyss,2,0,2,KAYO,OMEN,CYPHER,JETT,SOVA
308,Abyss,13,10,3,SOVA,ASTRA,BREACH,JETT,CYPHER
309,Haven,7,4,3,KAYO,SOVA,CYPHER,OMEN,JETT
310,Haven,13,5,8,SOVA,ASTRA,BREACH,JETT,CYPHER
311,Haven,13,9,4,DEADLOCK,YORU,ASTRA,BREACH,KILLJOY
312,Haven,7,4,3,YORU,ISO,CYPHER,OMEN,SOVA
313,Bind,13,5,8,YORU,DEADLOCK,BREACH,ASTRA,KILLJOY
314,Bind,8,4,4,YORU,ISO,CYPHER,SOVA,OMEN
315,Lotus,13,4,9,CLOVE,KAYO,OMEN,NEON,FADE
316,Lotus,7,3,4,NEON,CYPHER,BREACH,SOVA,OMEN
317,Sunset,13,8,5,CLOVE,NEON,FADE,KAYO,OMEN
318,Sunset,6,2,4,NEON,SOVA,CYPHER,BREACH,OMEN
319,Haven,4,0,4,SKYE,KILLJOY,OMEN,VIPER,JETT
320,Haven,13,8,5,SOVA,OMEN,JETT,KILLJOY,BREACH
321,Lotus,13,8,5,OMEN,KILLJOY,JETT,SKYE,VIPER
322,Lotus,10,6,4,OMEN,KILLJOY,SOVA,JETT,BREACH
323,cebox,9,6,3,RAZE,OMEN,VIPER,KILLJOY,FADE
324,cebox,13,7,6,OMEN,CYPHER,FADE,YORU,BREACH
325,Sunset,13,7,6,OMEN,NEON,BREACH,CYPHER,GEKKO
326,Sunset,11,6,5,NEON,BREACH,CYPHER,SOVA,OMEN
327,cebox,11,5,6,NEON,GEKKO,OMEN,CYPHER,BREACH
328,cebox,13,6,7,CYPHER,BREACH,NEON,SOVA,OMEN
329,Abyss,9,4,5,REYNA,GEKKO,KILLJOY,OMEN,VIPER
330,Abyss,13,7,6,JETT,SOVA,KILLJOY,KAYO,VIPER
331,Abyss,13,7,6,JETT,VIPER,SOVA,YORU,ASTRA
332,Abyss,10,6,4,JETT,OMEN,KAYO,ASTRA,SOVA
333,Haven,13,3,10,JETT,VIPER,SOVA,YORU,ASTRA
334,Haven,6,2,4,JETT,OMEN,KAYO,SOVA,ASTRA
335,Bind,13,7,6,BREACH,CYPHER,YORU,RAZE,OMEN
336,Bind,6,1,5,CYPHER,VIPER,RAZE,SKYE,OMEN
337,Haven,13,10,3,YORU,CYPHER,OMEN,BREACH,RAZE
338,Haven,3,1,2,CYPHER,VIPER,SKYE,RAZE,OMEN
339,Sunset,13,5,7,CYPHER,SOVA,NEON,BREACH,OMEN
340,Sunset,15,5,7,NEON,CYPHER,BREACH,SOVA,OMEN
341,Haven,7,2,5,CYPHER,NEON,SOVA,BREACH,OMEN
342,Haven,13,3,10,NEON,CYPHER,BREACH,OMEN,SOVA
343,cebox,6,1,5,VIPER,OMEN,GEKKO,REYNA,KILLJOY
344,cebox,13,7,6,JETT,KILLJOY,HARBOR,VIPER,SOVA
345,Bind,13,9,4,VIPER,OMEN,REYNA,KILLJOY,GEKKO
346,Bind,6,3,3,JETT,KILLJOY,HARBOR,VIPER,SOVA
347,Haven,5,3,2,RAZE,BRIMSTONE,DEADLOCK,SKYE,GEKKO
348,Haven,13,4,9,RAZE,VIPER,BRIMSTONE,SKYE,GEKKO
349,Abyss,13,4,9,JETT,KAYO,SOVA,OMEN,CYPHER
350,Abyss,8,3,5,CYPHER,ASTRA,JETT,BREACH,GEKKO
351,Sunset,3,3,0,SOVA,KAYO,JETT,OMEN,CYPHER
352,Sunset,13,4,9,ASTRA,CYPHER,BREACH,JETT,GEKKO
353,Haven,13,9,4,GEKKO,RAZE,BREACH,CYPHER,OMEN
354,Haven,7,4,3,SOVA,BREACH,OMEN,CYPHER,NEON
355,Bind,8,5,3,VIPER,BRIMSTONE,RAZE,FADE,GEKKO
356,Bind,13,6,7,BRIMSTONE,BREACH,CYPHER,DEADLOCK,NEON
